household_email	appliance_number	manufacturer_name	model	cooktop_heat_source	oven_type	oven_heat_sources
agrenet@sunnamplex.com	1	Adjubilex Holdings Corp.	Lomtinex	gas	convection	electric;microwave
jlabreche@kan-code.com	1	Adjubilex Holdings Corp.	Zeesipazz	radiant electric	conventional	electric
reschberger@hottechi.com	1	Adkililar Holdings Company	Hapquestover		convection	electric;microwave
clacovara@zumgoity.com	1	Adkililar Holdings Company	Moncadistor		conventional	gas
cabdallah@codehow.com	1	Adkililar Holdings Company	Parrobazz	induction	conventional	electric;gas
dcookey@plussunin.com	1	Adkililar Holdings Company	Supvenar	induction		
lcartan@stanredtax.com	1	Adkililar Holdings Company	Supzapar	induction	convection	electric
rkarpin@gogozoom.com	1	Adkililar Holdings Company	Surtinover	gas	conventional	microwave
ischnitzler@zencorporation.com	1	Adpickegentor Holdings		gas		
vmai@streethex.com	1	Adpickegentor Holdings	Adrobollor	induction	conventional	microwave
cjillson@warephase.com	1	Adpickegentor Holdings	Barwerpilistor		convection	electric;microwave
larceo@fasehatice.com	1	Adpickegentor Holdings	Frovenazz		convection	electric
gyori@gogozoom.com	1	Adpickegentor Holdings	Monwerilantor		conventional	electric;microwave
hcloney@groovestreet.com	1	Adpickegentor Holdings	Winwerpan		convection	gas;microwave
csayaphon@lexiqvolax.com	1	Adpickover International	Adpickinazz		convection	electric
lmenter@dontechi.com	1	Adpickover International	Endsipistor		conventional	gas;microwave
cfredicks@codehow.com	1	Adpickover International	Gropickicator	gas	conventional	electric
mmatuszak@toughzap.com	1	Adpickover International	Haphupexistor	gas		
rmauson@conecom.com	1	Adpickover International	Klitinistor		convection	gas;microwave
vrodefer@blackzim.com	1	Adpickover International	Lomerplantor		conventional	microwave
fsemidey@lexiqvolax.com	1	Adtumegax	Dopdimanax		convection	electric;gas
ssilvestrini@isdom.com	1	Adtumegax	Haptanupantor	electric	convection	gas;microwave
rpagliuca@gogozoom.com	1	Adtumegax	Lomfroponex		conventional	gas
druta@newex.com	1	Adtumegax	Monroban	electric		
leanes@treequote.com	1	Adtumegax	Parrobazz		conventional	microwave;gas
mklimek@doncon.com	1	Adtumegax	Supwerpover	induction	conventional	gas;electric
jdegroot@streethex.com	1	Adwerower International Inc	Emweronar	induction		
hlacovara@sunnamplex.com	1	Adwerower International Inc	Fropickaman		conventional	electric
gyum@goodsilron.com	1	Adwerower International Inc	Rapsapex	electric	convection	gas;electric;microwave
lharabedian@streethex.com	1	Adwerower International Inc	Surzapegax	gas	convection	electric
rkardas@nam-zim.com	1	Adwerponantor  Inc	Endsipistor	electric	conventional	microwave;gas
ghirpara@zencorporation.com	1	Adwerponantor  Inc	Fropickaman		convection	electric;gas
kyglesias@zumgoity.com	1	Adwerponantor  Inc	Fropickaman	electric	convection	gas;electric;microwave
