household_email	appliance_number	manufacturer_name	model	cooktop_heat_source	oven_type	oven_heat_sources
agrenet@sunnamplex.com	1	Adjubilex Holdings Corp.	Lomtinex	gas	convection	electric;microwave
jlabreche@kan-code.com	1	Adjubilex Holdings Corp.	Zeesipazz	radiant electric	conventional	electric
cabdallah@codehow.com	1	Adkililar Holdings Company	Parrobazz	induction	conventional	electric;gas
dcookey@plussunin.com	1	Adkililar Holdings Company	Supvenar	induction		
lcartan@stanredtax.com	1	Adkililar Holdings Company	Supzapar	induction	convection	electric
rkarpin@gogozoom.com	1	Adkililar Holdings Company	Surtinover	gas	conventional	microwave
ischnitzler@zencorporation.com	1	Adpickegentor Holdings		gas		
vmai@streethex.com	1	Adpickegentor Holdings	Adrobollor	induction	conventional	microwave
cfredicks@codehow.com	1	Adpickover International	Gropickicator	gas	conventional	electric
mmatuszak@toughzap.com	1	Adpickover International	Haphupexistor	gas		
ssilvestrini@isdom.com	1	Adtumegax	Haptanupantor	electric	convection	gas;microwave
druta@newex.com	1	Adtumegax	Monroban	electric		
mklimek@doncon.com	1	Adtumegax	Supwerpover	induction	conventional	gas;electric
jdegroot@streethex.com	1	Adwerower International Inc	Emweronar	induction		
gyum@goodsilron.com	1	Adwerower International Inc	Rapsapex	electric	convection	gas;electric;microwave
lharabedian@streethex.com	1	Adwerower International Inc	Surzapegax	gas	convection	electric
rkardas@nam-zim.com	1	Adwerponantor  Inc	Endsipistor	electric	conventional	microwave;gas
kyglesias@zumgoity.com	1	Adwerponantor  Inc	Fropickaman	electric	convection	gas;electric;microwave
alawler@konmatfix.com	1	Adwerponantor  Inc	Hapzapistor	gas	conventional	gas
lpoquette@conecom.com	1	Barmunar WorldWide	Rebanax	induction	convection	gas;electric
tinouye@warephase.com	1	Barnipentor	Zeesipicator	radiant electric	conventional	gas
iinouye@year-job.com	1	Barpickover International	Partinicantor	electric	convection	electric;gas
clapage@toughzap.com	1	Barpickover International	Updudistor	electric		
lryser@faxquote.com	1	Barrobax	Endzapinicator	electric		
bmorasca@scottech.com	1	Barrobax	Grodiman	electric	conventional	gas
mgehrett@bioplex.com	1	Barrobax	Varrobin	electric		
oreiber@domzoom.com	1	Barrobax	Varrobin	radiant electric	convection	electric;gas
ghanafan@iselectrics.com	1	Barsipicator WorldWide	Qwifropilistor	induction	conventional	microwave
aleto@betasoloin.com	1	Barsipicator WorldWide	Qwinipamex	induction	conventional	gas
fduenas@kinnamplus.com	1	Barsipicator WorldWide	Rapvenar	gas	conventional	gas;microwave
ccomnick@opentech.com	1	Barsipicator WorldWide	Tupdimantor	gas		
bdaufeldt@zotware.com	1	Bartinanor	Froglibefax	induction	conventional	gas;electric;microwave
amaynerich@green-plus.com	1	Bartinanor	Fropickaman	gas	convection	gas;microwave
