household_email	appliance_number	manufacturer_name	model	cooktop_heat_source	oven_type	gas	electric	microwave
agrenet@sunnamplex.com	1	Adjubilex Holdings Corp.	Lomtinex	gas	convection	0	1	1
jlabreche@kan-code.com	1	Adjubilex Holdings Corp.	Zeesipazz	radiant electric	conventional	0	1	0
reschberger@hottechi.com	1	Adkililar Holdings Company	Hapquestover		convection	0	1	1
clacovara@zumgoity.com	1	Adkililar Holdings Company	Moncadistor		conventional	1	0	0
cabdallah@codehow.com	1	Adkililar Holdings Company	Parrobazz	induction	conventional	1	1	0
dcookey@plussunin.com	1	Adkililar Holdings Company	Supvenar	induction				
lcartan@stanredtax.com	1	Adkililar Holdings Company	Supzapar	induction	convection	0	1	0
rkarpin@gogozoom.com	1	Adkililar Holdings Company	Surtinover	gas	conventional	0	0	1
ischnitzler@zencorporation.com	1	Adpickegentor Holdings		gas				
vmai@streethex.com	1	Adpickegentor Holdings	Adrobollor	induction	conventional	0	0	1
cjillson@warephase.com	1	Adpickegentor Holdings	Barwerpilistor		convection	0	1	1
larceo@fasehatice.com	1	Adpickegentor Holdings	Frovenazz		convection	0	1	0
gyori@gogozoom.com	1	Adpickegentor Holdings	Monwerilantor		conventional	0	1	1
hcloney@groovestreet.com	1	Adpickegentor Holdings	Winwerpan		convection	1	0	1
csayaphon@lexiqvolax.com	1	Adpickover International	Adpickinazz		convection	0	1	0
lmenter@dontechi.com	1	Adpickover International	Endsipistor		conventional	1	0	1
cfredicks@codehow.com	1	Adpickover International	Gropickicator	gas	conventional	0	1	0
mmatuszak@toughzap.com	1	Adpickover International	Haphupexistor	gas				
rmauson@conecom.com	1	Adpickover International	Klitinistor		convection	1	0	1
vrodefer@blackzim.com	1	Adpickover International	Lomerplantor		conventional	0	0	1
fsemidey@lexiqvolax.com	1	Adtumegax	Dopdimanax		convection	1	1	0
ssilvestrini@isdom.com	1	Adtumegax	Haptanupantor	electric	convection	1	0	1
rpagliuca@gogozoom.com	1	Adtumegax	Lomfroponex		conventional	1	0	0
druta@newex.com	1	Adtumegax	Monroban	electric				
leanes@treequote.com	1	Adtumegax	Parrobazz		conventional	1	0	1
mklimek@doncon.com	1	Adtumegax	Supwerpover	induction	conventional	1	1	0
jdegroot@streethex.com	1	Adwerower International Inc	Emweronar	induction				
hlacovara@sunnamplex.com	1	Adwerower International Inc	Fropickaman		conventional	0	1	0
gyum@goodsilron.com	1	Adwerower International Inc	Rapsapex	electric	convection	1	1	1
lharabedian@streethex.com	1	Adwerower International Inc	Surzapegax	gas	convection	0	1	0
rkardas@nam-zim.com	1	Adwerponantor  Inc	Endsipistor	electric	conventional	1	0	1
ghirpara@zencorporation.com	1	Adwerponantor  Inc	Fropickaman		convection	1	1	0
kyglesias@zumgoity.com	1	Adwerponantor  Inc	Fropickaman	electric	convection	1	1	1
alawler@konmatfix.com	1	Adwerponantor  Inc	Hapzapistor	gas	conventional	1	0	0
hstaback@labdrill.com	1	Adwerponantor  Inc	Infroponar		conventional	0	0	1
ckeetch@plussunin.com	1	Adwerponantor  Inc	Rapglibex		conventional	0	1	1
tostolaza@fasehatice.com	1	Barmunar WorldWide	Adtanazz		convection	0	1	1
anewville@bioholding.com	1	Barmunar WorldWide	Hapquestover		convection	1	0	0
vcryer@zencorporation.com	1	Barmunar WorldWide	Haptumar		convection	0	1	0
lpoquette@conecom.com	1	Barmunar WorldWide	Rebanax	induction	convection	1	1	0
dpalaia@donquadtech.com	1	Barnipentor	Monerex		conventional	1	1	0
tinouye@warephase.com	1	Barnipentor	Zeesipicator	radiant electric	conventional	1	0	0
iinouye@year-job.com	1	Barpickover International	Partinicantor	electric	convection	1	1	0
damyot@ganjaflex.com	1	Barpickover International	Rapglibex		convection	1	1	0
anestle@konex.com	1	Barpickover International	Thrunipaquentor		convection	1	0	1
clapage@toughzap.com	1	Barpickover International	Updudistor	electric				
lryser@faxquote.com	1	Barrobax	Endzapinicator	electric				
bmorasca@scottech.com	1	Barrobax	Grodiman	electric	conventional	1	0	0
tahle@ontomedia.com	1	Barrobax	Parrobor		conventional	1	0	1
mgehrett@bioplex.com	1	Barrobax	Varrobin	electric				
oreiber@domzoom.com	1	Barrobax	Varrobin	radiant electric	convection	1	1	0
ghanafan@iselectrics.com	1	Barsipicator WorldWide	Qwifropilistor	induction	conventional	0	0	1
aleto@betasoloin.com	1	Barsipicator WorldWide	Qwinipamex	induction	conventional	1	0	0
