household_email	appliance_number	manufacturer_name	model	cooktop_heat_source	cooker_id
agrenet@sunnamplex.com	1	Adjubilex Holdings Corp.	Lomtinex	gas	1
jlabreche@kan-code.com	1	Adjubilex Holdings Corp.	Zeesipazz	radiant electric	2
cabdallah@codehow.com	1	Adkililar Holdings Company	Parrobazz	induction	5
dcookey@plussunin.com	1	Adkililar Holdings Company	Supvenar	induction	6
lcartan@stanredtax.com	1	Adkililar Holdings Company	Supzapar	induction	7
rkarpin@gogozoom.com	1	Adkililar Holdings Company	Surtinover	gas	8
ischnitzler@zencorporation.com	1	Adpickegentor Holdings		gas	9
vmai@streethex.com	1	Adpickegentor Holdings	Adrobollor	induction	10
cfredicks@codehow.com	1	Adpickover International	Gropickicator	gas	17
mmatuszak@toughzap.com	1	Adpickover International	Haphupexistor	gas	18
ssilvestrini@isdom.com	1	Adtumegax	Haptanupantor	electric	22
druta@newex.com	1	Adtumegax	Monroban	electric	24
mklimek@doncon.com	1	Adtumegax	Supwerpover	induction	26
jdegroot@streethex.com	1	Adwerower International Inc	Emweronar	induction	27
gyum@goodsilron.com	1	Adwerower International Inc	Rapsapex	electric	29
lharabedian@streethex.com	1	Adwerower International Inc	Surzapegax	gas	30
rkardas@nam-zim.com	1	Adwerponantor  Inc	Endsipistor	electric	31
kyglesias@zumgoity.com	1	Adwerponantor  Inc	Fropickaman	electric	33
alawler@konmatfix.com	1	Adwerponantor  Inc	Hapzapistor	gas	34
lpoquette@conecom.com	1	Barmunar WorldWide	Rebanax	induction	40
tinouye@warephase.com	1	Barnipentor	Zeesipicator	radiant electric	42
iinouye@year-job.com	1	Barpickover International	Partinicantor	electric	43
clapage@toughzap.com	1	Barpickover International	Updudistor	electric	46
lryser@faxquote.com	1	Barrobax	Endzapinicator	electric	47
bmorasca@scottech.com	1	Barrobax	Grodiman	electric	48
mgehrett@bioplex.com	1	Barrobax	Varrobin	electric	50
oreiber@domzoom.com	1	Barrobax	Varrobin	radiant electric	51
ghanafan@iselectrics.com	1	Barsipicator WorldWide	Qwifropilistor	induction	52
aleto@betasoloin.com	1	Barsipicator WorldWide	Qwinipamex	induction	53
fduenas@kinnamplus.com	1	Barsipicator WorldWide	Rapvenar	gas	54
ccomnick@opentech.com	1	Barsipicator WorldWide	Tupdimantor	gas	55
bdaufeldt@zotware.com	1	Bartinanor	Froglibefax	induction	56
amaynerich@green-plus.com	1	Bartinanor	Fropickaman	gas	57
wsweely@finhigh.com	1	Bartinanor	Lompeban	radiant electric	58
gbruschke@betatech.com	1	Bartinanor	Mondudexin	electric	59
mskursky@newex.com	1	Bartinanor	Mondudexin	electric	60
llace@fasehatice.com	1	Bartinanor	Tipwerpin	electric	62
jjillson@lexiqvolax.com	1	Barvenackax Direct Company		gas	66
arodeigues@konex.com	1	Barvenackax Direct Company	Emweronar	gas	67
athyberg@statholdings.com	1	Barvenackax Direct Company	Hapnipexower	induction	69
bnestle@hatfan.com	1	Barvenackax Direct Company	Haptanupantor	induction	70
scoyier@scottech.com	1	Barvenackax Direct Company	Tipwerpin	electric	73
mbeech@labdrill.com	1	Cipbanower Direct Company		induction	74
camigon@konex.com	1	Cipbanower Direct Company	Supericator	induction	77
lrochin@statholdings.com	1	Cipbanower Direct Company	Thrumunonax	electric	78
gfrancescon@betatech.com	1	Ciperepazz Direct Inc	Parfropadantor	radiant electric	80
lpolidori@xx-zobam.com	1	Ciperepazz Direct Inc	Parhupar	electric	81
gpedrozo@inity.com	1	Cipmunonover Holdings	Frorobistor	electric	83
rvizarro@finjob.com	1	Cipmunonover Holdings	Parrobor	electric	84
tnachor@conecom.com	1	Dopdimaquor Holdings Company	Monglibepar	gas	89
apoquette@kan-code.com	1	Dopdimaquor Holdings Company	Tipsapover	electric	90
csaras@zencorporation.com	1	Dopdimaquor Holdings Company	Truzapaquar	induction	91
agood@scotfind.com	1	Dopjubupicator	Hapnipexower	induction	93
dflosi@konmatfix.com	1	Dopjubupicator	Monzapazz	electric	95
fsweely@ron-tech.com	1	Dopjubupicator	Qwifropilistor	electric	96
emiceli@cancity.com	1	Dopjubupicator	Supdimonentor	gas	98
csaulter@labdrill.com	1	Dopjubupicator	Untumover	gas	99
bmastella@hottechi.com	1	Dopkilaquazz  Group	Cipdudinan	gas	100
sdenooyer@zoomit.com	1	Dopkilaquazz  Group	Haphupicator	gas	101
tkaniecki@dambase.com	1	Dopkilaquazz  Group	Haptanupantor	induction	102
lbaltimore@hottechi.com	1	Dopkilaquazz  Group	Monsipommistor	radiant electric	103
daquas@plussunin.com	1	Dopkilaquazz  Group	Truzapaquar	radiant electric	104
kthreets@plussunin.com	1	Dopkilaquazz  Group	Windimower	induction	106
mwaycott@bioplex.com	1	Dopnipaquistor	Adfropax	radiant electric	108
pborgman@zathunicon.com	1	Dopsipegentor Direct	Dopbanentor	electric	113
dgotter@goodsilron.com	1	Doptaninin Holdings Inc	Adpebeficator	gas	119
lvocelka@ron-tech.com	1	Doptaninin Holdings Inc	Emweronar	electric	120
mparvis@golddex.com	1	Doptaninin Holdings Inc	Froglibefax	induction	121
ktoyama@xx-zobam.com	1	Doptaninin Holdings Inc	Surtumanex	radiant electric	123
tbowley@stanredtax.com	1	Doptaninin Holdings Inc	Tupdimantor	radiant electric	124
avanheusen@zotware.com	1	Doptaninin Holdings Inc	Uncadax	induction	125
ahughey@lexiqvolax.com	1	Doptaninin Holdings Inc	Upsapimor	electric	126
kloder@treequote.com	1	Doptanonantor WorldWide	Frovenazz	gas	128
fmunns@hatfan.com	1	Doptanonantor WorldWide	Monerex	electric	129
sbeech@bioplex.com	1	Doptanonantor WorldWide	Parrobor	gas	131
cpoquette@faxquote.com	1	Doptanonantor WorldWide	Upsapar	radiant electric	133
jfillingim@toughzap.com	1	Dopvenonazz WorldWide	Barwerpilistor	induction	134
hhochard@zotware.com	1	Dopvenonazz WorldWide	Varhupan	induction	137
hhochard@kinnamplus.com	1	Embanicower Holdings	Ciperimar	gas	138
asaras@dalttechnology.com	1	Embanicower Holdings	Lomfroponex	electric	139
scryer@finhigh.com	1	Empickadin	Barmunaquistor	induction	142
rsahagun@gogozoom.com	1	Empickadin	Grodiman	radiant electric	143
rlimmel@zathunicon.com	1	Empickadin	Infroponar	gas	145
sshinko@plusstrip.com	1	Empickadin	Mondudexin	radiant electric	146
tmclaird@golddex.com	1	Empickadin	Supsapan	radiant electric	148
cbubash@opentech.com	1	Empickopentor Holdings	Parglibover	electric	149
yasar@zoomit.com	1	Empickopentor Holdings	Surtinover	electric	150
sdenooyer@ganjaflex.com	1	Emtumax Direct Inc	Lomnipanower	gas	151
cbitsuie@treequote.com	1	Emtumax Direct Inc	Partinicantor	radiant electric	152
rbenimadho@dalttechnology.com	1	Emtumax Direct Inc	Unbanover	induction	153
bschmaltz@goodsilron.com	1	Emtumax Direct Inc	Uncadax	induction	154
nloder@blackzim.com	1	Emwerpentor Direct Corp.	Suptanedgentor	radiant electric	158
vbrachle@ron-tech.com	1	Emwerpentor Direct Corp.	Updudistor	gas	159
jkownacki@yearin.com	1	Emwerpentor Direct Corp.	Winsipexex	radiant electric	160
rbuvens@statholdings.com	1	Emwerpentor Direct Corp.	Zeedimin	gas	161
rvenere@funholding.com	1	Endhupopor International	Adkilor	gas	167
mklusman@dalttechnology.com	1	Endhupopor International	Adpickinazz	induction	168
ameinerding@openlane.com	1	Endhupopor International	Surtumanex	radiant electric	170
sspickerman@gogozoom.com	1	Endhupopor International	Winnipilover	induction	171
lyglesias@j-texon.com	1	Endjubor Holdings Corp.	Cipzapar	induction	172
lmaillard@donware.com	1	Endtinan	Barkilentor	radiant electric	173
jsyrop@ontomedia.com	1	Endtinan	Endsipistor	gas	174
slacovara@faxquote.com	1	Endtinan	Tuphupamin	electric	176
sshields@donquadtech.com	1	Endtumin		radiant electric	178
nlary@codehow.com	1	Endtumin	Qwifropilistor	induction	181
ekitzman@scotfind.com	1	Endtumin	Zeesipazz	induction	183
wmadarang@green-plus.com	1	Endzapimistor	Endwerpinicator	induction	185
aohms@condax.com	1	Endzapimistor	Tipbanommax	electric	187
