household_email	appliance_number	manufacturer_name	model	oven_type	gas	electric	microwave	cooker_id
agrenet@sunnamplex.com	1	Adjubilex Holdings Corp.	Lomtinex	convection	0	1	1	1
jlabreche@kan-code.com	1	Adjubilex Holdings Corp.	Zeesipazz	conventional	0	1	0	2
reschberger@hottechi.com	1	Adkililar Holdings Company	Hapquestover	convection	0	1	1	3
clacovara@zumgoity.com	1	Adkililar Holdings Company	Moncadistor	conventional	1	0	0	4
cabdallah@codehow.com	1	Adkililar Holdings Company	Parrobazz	conventional	1	1	0	5
lcartan@stanredtax.com	1	Adkililar Holdings Company	Supzapar	convection	0	1	0	7
rkarpin@gogozoom.com	1	Adkililar Holdings Company	Surtinover	conventional	0	0	1	8
vmai@streethex.com	1	Adpickegentor Holdings	Adrobollor	conventional	0	0	1	10
cjillson@warephase.com	1	Adpickegentor Holdings	Barwerpilistor	convection	0	1	1	11
larceo@fasehatice.com	1	Adpickegentor Holdings	Frovenazz	convection	0	1	0	12
gyori@gogozoom.com	1	Adpickegentor Holdings	Monwerilantor	conventional	0	1	1	13
hcloney@groovestreet.com	1	Adpickegentor Holdings	Winwerpan	convection	1	0	1	14
csayaphon@lexiqvolax.com	1	Adpickover International	Adpickinazz	convection	0	1	0	15
lmenter@dontechi.com	1	Adpickover International	Endsipistor	conventional	1	0	1	16
cfredicks@codehow.com	1	Adpickover International	Gropickicator	conventional	0	1	0	17
rmauson@conecom.com	1	Adpickover International	Klitinistor	convection	1	0	1	19
vrodefer@blackzim.com	1	Adpickover International	Lomerplantor	conventional	0	0	1	20
fsemidey@lexiqvolax.com	1	Adtumegax	Dopdimanax	convection	1	1	0	21
ssilvestrini@isdom.com	1	Adtumegax	Haptanupantor	convection	1	0	1	22
rpagliuca@gogozoom.com	1	Adtumegax	Lomfroponex	conventional	1	0	0	23
leanes@treequote.com	1	Adtumegax	Parrobazz	conventional	1	0	1	25
mklimek@doncon.com	1	Adtumegax	Supwerpover	conventional	1	1	0	26
hlacovara@sunnamplex.com	1	Adwerower International Inc	Fropickaman	conventional	0	1	0	28
gyum@goodsilron.com	1	Adwerower International Inc	Rapsapex	convection	1	1	1	29
lharabedian@streethex.com	1	Adwerower International Inc	Surzapegax	convection	0	1	0	30
rkardas@nam-zim.com	1	Adwerponantor  Inc	Endsipistor	conventional	1	0	1	31
ghirpara@zencorporation.com	1	Adwerponantor  Inc	Fropickaman	convection	1	1	0	32
kyglesias@zumgoity.com	1	Adwerponantor  Inc	Fropickaman	convection	1	1	1	33
alawler@konmatfix.com	1	Adwerponantor  Inc	Hapzapistor	conventional	1	0	0	34
hstaback@labdrill.com	1	Adwerponantor  Inc	Infroponar	conventional	0	0	1	35
ckeetch@plussunin.com	1	Adwerponantor  Inc	Rapglibex	conventional	0	1	1	36
tostolaza@fasehatice.com	1	Barmunar WorldWide	Adtanazz	convection	0	1	1	37
anewville@bioholding.com	1	Barmunar WorldWide	Hapquestover	convection	1	0	0	38
vcryer@zencorporation.com	1	Barmunar WorldWide	Haptumar	convection	0	1	0	39
lpoquette@conecom.com	1	Barmunar WorldWide	Rebanax	convection	1	1	0	40
dpalaia@donquadtech.com	1	Barnipentor	Monerex	conventional	1	1	0	41
tinouye@warephase.com	1	Barnipentor	Zeesipicator	conventional	1	0	0	42
iinouye@year-job.com	1	Barpickover International	Partinicantor	convection	1	1	0	43
damyot@ganjaflex.com	1	Barpickover International	Rapglibex	convection	1	1	0	44
anestle@konex.com	1	Barpickover International	Thrunipaquentor	convection	1	0	1	45
bmorasca@scottech.com	1	Barrobax	Grodiman	conventional	1	0	0	48
tahle@ontomedia.com	1	Barrobax	Parrobor	conventional	1	0	1	49
oreiber@domzoom.com	1	Barrobax	Varrobin	convection	1	1	0	51
