household_email	appliance_number	manufacturer_name	model	cooktop_heat_source	oven_type	gas	electric	microwave	cooker_id
agrenet@sunnamplex.com	1	Adjubilex Holdings Corp.	Lomtinex	gas	convection	0	1	1	1
jlabreche@kan-code.com	1	Adjubilex Holdings Corp.	Zeesipazz	radiant electric	conventional	0	1	0	2
reschberger@hottechi.com	1	Adkililar Holdings Company	Hapquestover		convection	0	1	1	3
clacovara@zumgoity.com	1	Adkililar Holdings Company	Moncadistor		conventional	1	0	0	4
cabdallah@codehow.com	1	Adkililar Holdings Company	Parrobazz	induction	conventional	1	1	0	5
dcookey@plussunin.com	1	Adkililar Holdings Company	Supvenar	induction					6
lcartan@stanredtax.com	1	Adkililar Holdings Company	Supzapar	induction	convection	0	1	0	7
rkarpin@gogozoom.com	1	Adkililar Holdings Company	Surtinover	gas	conventional	0	0	1	8
ischnitzler@zencorporation.com	1	Adpickegentor Holdings		gas					9
vmai@streethex.com	1	Adpickegentor Holdings	Adrobollor	induction	conventional	0	0	1	10
cjillson@warephase.com	1	Adpickegentor Holdings	Barwerpilistor		convection	0	1	1	11
larceo@fasehatice.com	1	Adpickegentor Holdings	Frovenazz		convection	0	1	0	12
gyori@gogozoom.com	1	Adpickegentor Holdings	Monwerilantor		conventional	0	1	1	13
hcloney@groovestreet.com	1	Adpickegentor Holdings	Winwerpan		convection	1	0	1	14
csayaphon@lexiqvolax.com	1	Adpickover International	Adpickinazz		convection	0	1	0	15
lmenter@dontechi.com	1	Adpickover International	Endsipistor		conventional	1	0	1	16
cfredicks@codehow.com	1	Adpickover International	Gropickicator	gas	conventional	0	1	0	17
mmatuszak@toughzap.com	1	Adpickover International	Haphupexistor	gas					18
rmauson@conecom.com	1	Adpickover International	Klitinistor		convection	1	0	1	19
vrodefer@blackzim.com	1	Adpickover International	Lomerplantor		conventional	0	0	1	20
fsemidey@lexiqvolax.com	1	Adtumegax	Dopdimanax		convection	1	1	0	21
ssilvestrini@isdom.com	1	Adtumegax	Haptanupantor	electric	convection	1	0	1	22
rpagliuca@gogozoom.com	1	Adtumegax	Lomfroponex		conventional	1	0	0	23
druta@newex.com	1	Adtumegax	Monroban	electric					24
leanes@treequote.com	1	Adtumegax	Parrobazz		conventional	1	0	1	25
mklimek@doncon.com	1	Adtumegax	Supwerpover	induction	conventional	1	1	0	26
jdegroot@streethex.com	1	Adwerower International Inc	Emweronar	induction					27
hlacovara@sunnamplex.com	1	Adwerower International Inc	Fropickaman		conventional	0	1	0	28
gyum@goodsilron.com	1	Adwerower International Inc	Rapsapex	electric	convection	1	1	1	29
lharabedian@streethex.com	1	Adwerower International Inc	Surzapegax	gas	convection	0	1	0	30
rkardas@nam-zim.com	1	Adwerponantor  Inc	Endsipistor	electric	conventional	1	0	1	31
ghirpara@zencorporation.com	1	Adwerponantor  Inc	Fropickaman		convection	1	1	0	32
kyglesias@zumgoity.com	1	Adwerponantor  Inc	Fropickaman	electric	convection	1	1	1	33
