household_email	bathroom_number	sink_count	bidet_count	commode_count	tub_count	shower_count	tub_shower_count	primary_bathroom	bathroom_name
aabdallah@plusstrip.com	2	1	0	0					game room
aacey@streethex.com	1	2	0	1					guest
aadkin@toughzap.com	1	3	0	1					guest
aankeny@zoomit.com	1	1	1	1					game room
abachman@isdom.com	1	1	0	1					
abachman@sonron.com	1	1	1	1					
abachman@sonron.com	2	1	0	1					basement
abachman@sonron.com	3	1	0	1					powder room
abarfield@sunnamplex.com	1	1	0	1					
aberray@blackzim.com	1	2	0	0					
abilden@bioholding.com	1	1	0	1					basement
abirkner@singletechno.com	1	1	0	0					powder room
ablunk@labdrill.com	1	1	0	1					
aboulter@domzoom.com	1	1	0	1					guest
abourbon@sumace.com	2	1	0	1					
abourbon@sumace.com	3	1	0	1					game room
abreland@xx-holding.com	2	1	0	1					
abrossart@iselectrics.com	1	2	1	1					game room
abrossart@year-job.com	2	1	1	1					
abutzen@dontechi.com	1	1	0	1					basement
acaiafa@donware.com	1	1	0	1					
acampain@isdom.com	1	1	0	1					game room
acampain@isdom.com	2	1	1	1					guest
acartan@ganjaflex.com	1	1	0	1					basement
acentini@scotfind.com	2	1	0	1					basement
achavous@bioplex.com	3	1	0	0					guest
acronauer@j-texon.com	1	1	0	1					
acryer@konmatfix.com	2	1	0	1					
adallen@y-corporation.com	2	1	0	1					guest
adaufeldt@opentech.com	1	1	0	1					guest
adegonia@labdrill.com	1	1	0	1					guest
adegroot@toughzap.com	1	1	0	0					guest
adegroot@toughzap.com	2	2	0	1					game room
adilello@isdom.com	1	1	0	1					guest
adiscipio@ganjaflex.com	2	1	0	0					
adiscipio@newex.com	1	1	0	1					
aemard@singletechno.com	1	2	0	1					guest
aemard@singletechno.com	2	1	0	1					guest
afarrar@warephase.com	1	1	1	1					
afarrar@year-job.com	1	1	1	1					guest
afarrow@codehow.com	2	2	0	1					
afillingim@rantouch.com	1	2	0	1					
afillingim@yearin.com	1	1	0	0					
afishburne@sonron.com	1	1	1	0					guest
aflister@dontechi.com	1	2	0	0					
aflister@dontechi.com	2	1	0	1					basement
aflosi@rangreen.com	1	1	0	1					
aflosi@rangreen.com	2	1	0	1					game room
afortino@scottech.com	1	2	0	1					
agehrett@golddex.com	1	2	0	0					game room
agibes@dalttechnology.com	1	1	0	1					
agibes@dalttechnology.com	2	2	1	1					guest
agillaspie@golddex.com	1	2	0	0					game room
agleich@condax.com	1	1	1	1					
agleich@year-job.com	1	3	0	1					
agochal@finjob.com	2	1	0	0					game room
agood@scotfind.com	1	1	0	0					powder room
agotter@codehow.com	1	1	0	1					basement
agrenet@sunnamplex.com	2	1	1	1					guest
ahalter@sunnamplex.com	1	2	0	0					
ahanafan@zumgoity.com	1	1	1	1					guest
ahanafan@zumgoity.com	2	2	0	1					
ahaufler@bioholding.com	1	2	0	0					
aheintzman@blackzim.com	1	1	1	1					powder room
ahengel@sonron.com	2	1	0	1					
aherritt@isdom.com	1	1	0	1					
ahidvegi@labdrill.com	1	2	0	1					
ahidvegi@openlane.com	1	1	0	1					basement
ahidvegi@rangreen.com	1	3	1	1					guest
ahollack@finhigh.com	2	1	0	1					
ahughey@lexiqvolax.com	2	2	0	1					powder room
ainouye@golddex.com	1	1	1	1					game room
ainouye@rangreen.com	1	2	0	1					powder room
ainouye@rangreen.com	2	1	0	1					
ainouye@rangreen.com	4	1	1	1					
ainouye@rangreen.com	5	2	0	1					powder room
ainouye@rangreen.com	8	1	0	1					
ainouye@rangreen.com	9	1	0	1					
ajuhas@betatech.com	1	1	0	1					game room
akarpin@zumgoity.com	1	2	0	1					basement
akeneipp@green-plus.com	1	2	0	0					basement
akeneipp@green-plus.com	2	2	0	1					
aketelsen@newex.com	1	2	1	1					
akippley@singletechno.com	1	1	0	1					guest
akitzman@funholding.com	1	1	1	1					guest
akitzman@funholding.com	2	2	0	1					
aklonowski@groovestreet.com	1	1	0	1					game room
aklonowski@konex.com	1	1	0	0					powder room
akohl@betasoloin.com	2	2	0	1					basement
akohl@betasoloin.com	3	2	0	1					game room
akohnert@streethex.com	1	2	0	1					
akonopacki@sumace.com	1	2	0	0					
akoppinger@hatfan.com	2	1	0	1					game room
akownacki@dambase.com	1	1	0	1					
akulzer@funholding.com	2	1	0	1					basement
alacovara@zumgoity.com	1	1	1	1					
alary@domzoom.com	2	1	0	0					game room
alary@domzoom.com	3	1	0	1					powder room
alatzke@conecom.com	3	1	0	1					game room
alawler@konmatfix.com	1	1	0	1					game room
alawler@streethex.com	2	1	0	0					game room
aleto@betasoloin.com	1	1	0	1					
aleto@betasoloin.com	2	1	0	1					basement
aleto@sonron.com	1	2	0	0					
alimmel@ron-tech.com	2	1	0	1					
alindall@sumace.com	3	1	0	1					
alother@lexiqvolax.com	1	2	0	1					
alouissant@xx-holding.com	1	1	0	1					basement
amadarang@hottechi.com	2	3	0	1					game room
amaile@newex.com	1	1	0	1					
amaillard@bioholding.com	1	2	0	1					
amaillard@konmatfix.com	1	2	0	0					
amalet@cancity.com	1	3	1	1					powder room
amanno@zoomit.com	1	3	0	1					
amarrier@codehow.com	1	1	0	1					powder room
amarrier@kinnamplus.com	1	1	0	1					
amartabano@hottechi.com	1	2	0	1					guest
amaynerich@green-plus.com	1	1	0	1					powder room
ameinerding@donquadtech.com	1	1	0	1					basement
ameinerding@donquadtech.com	2	1	0	1					game room
ameinerding@openlane.com	1	1	0	1					game room
amorasca@funholding.com	2	1	1	1					
amorasca@opentech.com	1	2	0	1					
amyricks@condax.com	1	1	1	1					
anachor@zathunicon.com	1	1	0	1					
anicolozakes@year-job.com	2	1	0	1					
anievas@warephase.com	2	2	0	1					powder room
anunlee@donquadtech.com	1	2	0	1					
anunlee@donquadtech.com	2	3	0	1					
aogg@kan-code.com	1	1	0	1					basement
aogg@nam-zim.com	1	2	0	1					game room
aogg@nam-zim.com	3	1	0	1					
aohms@condax.com	1	2	0	1					
aohms@j-texon.com	1	1	0	1					game room
aoldroyd@bioholding.com	1	1	0	1					
aoldroyd@konex.com	1	2	0	1					
aonofrio@faxquote.com	1	2	0	1					powder room
aonofrio@inity.com	1	1	0	1					powder room
apalaspas@betasoloin.com	1	2	0	1					
apaprocki@blackzim.com	2	1	0	1					guest
aparlato@goodsilron.com	1	3	1	1					guest
apelkowski@goodsilron.com	1	1	0	1					powder room
apelkowski@konex.com	2	1	0	1					
aperez@cancity.com	1	1	0	1					basement
apinilla@finhigh.com	1	2	0	1					
aplumer@gogozoom.com	1	2	0	1					
apoquette@kan-code.com	2	2	1	1					
aradde@kinnamplus.com	2	1	0	1					basement
aradde@singletechno.com	1	2	1	1					
arantanen@domzoom.com	1	1	0	1					
arauser@sunnamplex.com	1	1	1	0					basement
araymo@konex.com	1	1	0	0					game room
araymo@konex.com	2	1	0	1					game room
ariopelle@inity.com	1	1	1	1					game room
arodeigues@konex.com	1	1	0	1					
arodeigues@toughzap.com	1	2	1	1					guest
arodenberger@dambase.com	1	2	0	1					powder room
arowling@green-plus.com	1	1	0	1					guest
aroyster@hottechi.com	1	1	0	1					basement
aroyster@hottechi.com	3	1	0	1					guest
aroyster@hottechi.com	4	2	1	1					
aroyster@zencorporation.com	2	2	0	0					game room
aruta@zathunicon.com	3	3	0	1					
aryser@warephase.com	1	1	0	1					
asaras@dalttechnology.com	1	1	0	0					
asarbacher@singletechno.com	2	1	0	1					
asayaphon@xx-holding.com	1	2	0	1					game room
aschirpke@groovestreet.com	1	1	0	1					
aschmaltz@donware.com	1	1	0	1					game room
aschmaltz@donware.com	2	1	0	1					
aschmaltz@rantouch.com	1	1	0	1					
ashire@codehow.com	1	1	0	1					guest
askulski@zumgoity.com	1	3	0	1					basement
askursky@nam-zim.com	2	2	0	1					
aslayton@bioholding.com	2	1	0	1					guest
aslayton@kinnamplus.com	1	1	0	0					basement
aslayton@kinnamplus.com	2	2	0	1					
aslayton@kinnamplus.com	3	2	0	1					powder room
aspickerman@konex.com	1	1	0	1					
astockham@kan-code.com	1	2	0	1					powder room
asweigard@doncon.com	2	2	1	1					game room
asyrop@donquadtech.com	2	1	0	1					game room
asyrop@groovestreet.com	1	1	0	1					game room
