household_email	appliance_number	manufacturer_name	model	display_size	display_type	resolution
cnabours@kinnamplus.com	1	Admunaquax Holdings	Barcadopax	55	LED	2160p (4K)
gshin@hottechi.com	1	Admunaquax Holdings	Hapmunover	60	LED	2160p (4K)
dnewville@funholding.com	1	Admunaquax Holdings	Lomvenplax	60	LED	1080p
lpawlowicz@lexiqvolax.com	1	Admunaquax Holdings	Qwiquestistor	35	plasma	1080p
gjuhas@opentech.com	1	Admunaquax Holdings	Supjubamover	65	LCD	4320p (8K)
rgood@domzoom.com	1	Admunaquax Holdings	Winmunower	45	LED	1080p
nclaucherty@konex.com	1	Admunin WorldWide Corp.	Cipmunantor	35	LED	720p
bscriven@xx-zobam.com	1	Admunin WorldWide Corp.	Enddimewex	40	LED	576i
nmalet@sumace.com	1	Admunin WorldWide Corp.	Endpebamin	75	plasma	576i
ccronauer@fasehatice.com	1	Admunin WorldWide Corp.	Endrobonentor	80	DLP	480i
ediestel@scotfind.com	1	Admunin WorldWide Corp.	Frotumar	55	LED	2160p (4K)
cnicolozakes@betatech.com	1	Admunin WorldWide Corp.	Montinanazz	55	LCD	2160p (4K)
bmauson@ontomedia.com	1	Admunin WorldWide Corp.	Qwitumonax	75	LED	2160p (4K)
sbrucato@iselectrics.com	1	Admunin WorldWide Corp.	Supmunistor	45	LCD	2160p (4K)
jahle@dontechi.com	1	Admunin WorldWide Corp.	Thrupickefazz	55	LED	720p
dbrachle@openlane.com	1	Adniponan  Corp.		50	LCD	4320p (8K)
yfillingim@lexiqvolax.com	1	Adniponan  Corp.		80	LED	1080p
scartan@faxquote.com	1	Adniponan  Corp.	Emwerpistor	45	LED	4320p (8K)
gregusters@finjob.com	1	Adniponan  Corp.	Lomjubanicator	70	plasma	2160p (4K)
akeneipp@codehow.com	1	Adniponan  Corp.	Tipdimistor	35	LCD	2160p (4K)
zslusarski@ron-tech.com	1	Adquestin International	Mondimplin	75	LED	4320p (8K)
jweirather@year-job.com	1	Adquestin International	Supdimilin	45	LED	576i
agrenet@singletechno.com	1	Adquestin International	Thrunipamover	50	plasma	480i
